StockReturns,BondReturns,InflationRates,RetirementExpenses
0.1545071229516849,-0.01427957843897774,0.03696572495333637,30194.28032439593
0.059260354824322306,0.01556004295570777,0.03566647185071333,39450.14353063128
0.17715328071510386,-0.007790484883611431,0.011269603083890174,44129.71593707414
0.3084544784612038,0.048833443755689564,0.041591684435274764,51496.689109246916
0.044876993791499606,0.13577428251695303,0.00019834648846763606,60241.62326606878
0.044879456457622924,-0.02168337257129637,0.016916313484793426,56941.35943371765
0.31688192232610873,0.12006563982147313,-0.009981756257956158,38206.75201552515
0.1951152093729363,-0.02253376578775101,0.06117253033925629,46282.87737834347
0.009578842109757188,-0.02781017699975074,0.02536901012109409,50763.75588702567
0.1613840065378947,0.10548756946745706,0.07333768069632624,47377.92875553501
0.010487346078130665,0.11375491024060934,0.0460589985303899,47307.04774131706
0.010140536964461475,0.10811279494101235,0.03896196426702049,32772.56675345728
0.11629434073490512,-0.06526379265745129,0.018275446114380013,38472.65848860359
-0.20699203669866967,0.0027239217542359383,0.009072999286251602,45970.601508607266
-0.1787376748769549,0.10583908736026572,0.04045943147793891,19067.743250548378
-0.004343129386145899,0.04332334724511157,0.028569719814540356,56406.44320009855
-0.07192466805016356,-0.04589542769579714,0.003214593690293979,36273.20900288931
0.1271370998892911,0.07666543513003533,-0.0003371683301663726,56868.38133265138
-0.05620361132818166,-0.01718458071931762,0.010825925417128322,55989.1600447091
-0.13184555520029376,0.18356198787137695,0.0664193445053246,44563.069568876155
0.2998473153382331,0.1635873169934607,0.07426555836022608,60005.483257015374
0.046133554927019656,0.08832779410844539,0.03409978294617819,57431.97344924933
0.09012923070318858,0.14888053638158188,0.032978855924825766,46910.38529165359
-0.1337122279320185,0.04518330800987049,0.02327359256340958,45782.40384808301
-0.0016574086787773943,0.10123499955000127,0.011310293033809954,60972.32785664357
0.09663838845647992,0.158217623624166,0.05750358115214488,52320.13839407664
-0.0926490366133454,0.05963989454354501,0.06747152787794272,60446.971683681426
0.1363547027518508,0.019585026278857307,0.012131618283214287,26110.25925647263
